688009,中国通号,17.75亿,-21.74,146亿,-28.72,111亿,3.04亿,7.97亿,-2.66亿,125亿,22.42亿,22.48亿
603993,洛阳钼业,10.08亿,24.73,467亿,368.44,460亿,4240万,6.52亿,6.95亿,480亿,3.51亿,3.51亿
603843,正平股份,4243万,5.73,19.43亿,38.69,17.69亿,484万,4605万,5737万,18.84亿,6068万,5773万
603808,歌力思,2.62亿,37.77,8.14亿,-35.7,2.72亿,3.3亿,8997万,1049万,7.37亿,3.17亿,3.16亿
603737,三棵树,1.09亿,-7.77,25.95亿,17.81,15.8亿,5.93亿,1.68亿,2025万,24.51亿,1.6亿,1.47亿
603718,海利生物,173万,-88.91,1.19亿,-14.53,6278万,2159万,3469万,870万,1.4亿,-1276万,-1249万
603680,今创集团,1.62亿,-9.01,16.92亿,-3.81,11.89亿,8160万,1.24亿,7261万,15.65亿,1.69亿,1.68亿
603633,徕木股份,1957万,-14.35,2.17亿,0.79,1.5亿,898万,1272万,1309万,1.98亿,2143万,2142万
603628,清源股份,2841万,68.1,3.68亿,-30.9,2.55亿,2865万,3023万,2640万,3.48亿,3598万,3647万
603619,中曼石油,-1.25亿,-556.56,8.86亿,-6.62,7.96亿,1942万,8528万,4499万,9.84亿,-8983万,-9009万
603527,众源新材,3033万,-31.75,15.45亿,-0.95,14.77亿,471万,880万,244万,15.09亿,3474万,3583万
603499,翔港科技,345万,-84.85,2.02亿,21.65,1.56亿,1057万,1973万,234万,2亿,545万,662万
603328,依顿电子,1.23亿,-53.79,10.93亿,-24.46,8.65亿,1925万,5987万,-4303万,9.56亿,1.49亿,1.46亿
603269,海鸥股份,119万,-90.44,2.3亿,-17.79,1.65亿,2589万,2605万,480万,2.29亿,315万,276万
603200,上海洗霸,4016万,-2.47,2.59亿,-3.88,1.72亿,757万,2253万,-280万,2.15亿,4582万,4684万
603196,日播时尚,-9759万,499.63,3.11亿,-39.92,1.23亿,1.3亿,6001万,-17.23万,3.27亿,-1.22亿,-1.28亿
603136,天目湖,-1056万,-119.66,1.01亿,-54.22,6715万,2373万,2933万,50.27万,1.21亿,-1069万,-1076万
603127,昭衍新药,7566万,87.17,3.97亿,97.82,1.98亿,649万,9216万,-121万,3.27亿,8431万,8394万
603078,江化微,2214万,40.38,2.57亿,13.6,1.74亿,2533万,1629万,342万,2.31亿,2590万,2569万
603045,福达合金,427万,-87.52,8.11亿,20.45,7.1亿,615万,3129万,1500万,7.93亿,118万,167万
603026,石大胜华,-4223万,-118.8,17.35亿,-25.9,14.69亿,5094万,6725万,971万,16.78亿,-2681万,-2657万
601991,大唐发电,17.78亿,106.67,445亿,-1.25,364亿,3217万,10.31亿,34.25亿,415亿,34.7亿,35.65亿
601988,中国银行,1009亿,-11.51,2857亿,3.24,-,-,669亿,-,1571亿,1286亿,1296亿
601939,建设银行,1376亿,-10.74,3891亿,7.65,-,-,758亿,-,2203亿,1688亿,1688亿
601858,中国科传,1.33亿,-3.57,9.79亿,-5.47,6.93亿,6003万,1.2亿,-4845万,8.31亿,1.15亿,1.3亿
601698,中国卫通,1.91亿,-8.33,12.61亿,-3.94,8.58亿,1756万,7917万,-1513万,9.7亿,2.94亿,2.99亿
601658,邮储银行,337亿,-9.96,1463亿,3.35,-,-,758亿,-,1105亿,358亿,362亿
601619,嘉泽新能,1.18亿,-23.4,5.27亿,-6.22,2.43亿,-,919万,1.39亿,3.93亿,1.32亿,1.29亿
